Date,Btc_Close,Eth_Close,Ltc_Close
2021-03-28,55778.82,1686.92,184.27
2021-03-29,57613.48,1815.73,193.66
2021-03-30,58786.46,1841.16,195.73
2021-03-31,58800.0,1920.0,196.88
2021-04-01,58726.48,1968.38,202.67
2021-04-02,58981.04,2134.68,211.5
2021-04-03,57094.34,2009.25,195.34
2021-04-04,58215.94,2076.36,202.26
2021-04-05,59123.02,2106.98,221.44
2021-04-06,58019.98,2113.0,237.09
2021-04-07,55955.75,1964.23,219.33
2021-04-08,58083.1,2081.29,226.24
2021-04-09,58092.68,2066.03,221.07
2021-04-10,59778.6,2133.08,255.94
2021-04-11,59985.26,2150.54,252.44
2021-04-12,59839.82,2138.03,244.35
2021-04-13,63588.22,2299.92,267.77
2021-04-14,62971.8,2432.54,278.85
2021-04-15,63229.04,2517.03,286.18
2021-04-16,61427.27,2426.64,308.75
2021-04-17,60058.86,2318.7,301.1
2021-04-18,56274.41,2241.46,274.2
2021-04-19,55696.83,2163.82,261.56
2021-04-20,56499.29,2332.6,261.01
2021-04-21,53800.86,2357.21,257.78
2021-04-22,51701.59,2399.99,252.65
2021-04-23,51187.27,2370.05,241.67
2021-04-24,50089.15,2216.72,225.3
2021-04-25,49121.0,2322.16,224.18
2021-04-26,54053.6,2534.0,247.65
2021-04-27,55069.62,2667.86,259.96
2021-04-28,54894.03,2751.59,258.81
2021-04-29,53580.0,2758.92,255.51
2021-04-30,57798.77,2776.45,271.59
2021-05-01,57859.28,2948.92,277.0
2021-05-02,56625.2,2952.09,269.1
2021-05-03,57212.73,3433.99,294.91
2021-05-04,53241.92,3240.01,305.5
2021-05-05,57515.69,3529.97,356.43
2021-05-06,56440.66,3492.75,354.44
2021-05-07,57380.39,3484.7,345.25
2021-05-08,58958.05,3917.26,347.72
2021-05-09,58312.57,3928.44,388.3
2021-05-10,55866.41,3949.45,359.41
2021-05-11,56753.19,4179.76,378.16
2021-05-12,49498.77,3826.37,310.91
2021-05-13,49690.11,3719.23,318.41
